time_weight,minimum_time_s,max_dynamics_defect,max_constraint_violation,status
20000,1.210459,2.678816e-01,7.271922e-02,ok
22000,1.811000,6.959140e+07,7.234508e+05,ok
24000,1.219595,2.149508e-01,8.948898e-02,ok
26000,1.175272,3.061920e-01,2.784911e-02,ok
28000,1.322139,3.265085e-01,1.144810e-01,ok
30000,1.230151,2.629481e-01,9.306216e-02,ok
32000,1.257946,3.226647e-01,7.307050e-02,ok
34000,1.188787,3.030873e-01,1.128594e-01,ok
36000,1.255800,3.249737e-01,1.110914e-01,ok
38000,1.123491,2.490712e-01,9.643823e-02,ok
40000,1.169981,3.296469e-01,1.848193e-02,ok
42000,1.073147,2.432016e-01,1.488215e-01,ok
44000,1.152775,2.844307e-01,1.219241e-01,ok
46000,1.134778,2.942596e-01,4.860585e-02,ok
48000,1.052753,2.180646e-01,1.440457e-01,ok
50000,1.077114,2.281181e-01,1.297714e-01,ok
52000,1.167844,2.654997e-01,1.587373e-01,ok
54000,1.101445,1.620076e-01,1.257117e-01,ok
56000,1.205299,3.281478e-01,7.311666e-02,ok
58000,1.073679,2.803893e-01,7.316305e-02,ok
60000,1.087057,2.478815e-01,3.432678e-01,ok
